id,full_name,birthdate,birth_city,birth_state_province_code
8484178,Riley Heidt,2005-03-25,Saskatoon,SK
8483062,Matthew Maggio,2002-11-25,Windsor,ON
8471724,Kris Letang,1987-04-24,Montréal,QC
8484147,Carson Bjarnason,2005-06-30,Brandon,MB
8476925,Colton Sissons,1993-11-05,North Vancouver,BC
8481523,Kirby Dach,2001-01-21,Fort Saskatchewan,AB
8475793,Ryan Johansen,1992-07-31,Vancouver,BC
8479982,Conor Timmins,1998-09-18,St. Catharines,ON
8478472,Mathieu Joseph,1997-02-09,Laval,QC
8476467,Jamie Oleksiak,1992-12-21,Toronto,ON
8484139,Beau Akey,2005-02-11,Waterloo,ON
8484829,Justin Hryckowian,2001-02-23,L'Ile-Bizard,QC
8484160,Nate Danielson,2004-09-27,Edmonton,AB
8477919,Frederick Gaudreau,1993-05-01,Bromont,QC
8482707,Kyle Masters,2003-04-09,Edmonton,AB
8480860,Kevin Bahl,2000-06-27,New Westminster,BC
8481789,Tye Kartye,2001-04-30,Kingston,ON
8484174,Andrew Gibson,2005-02-13,Windsor,ON
8482863,Caedan Bankier,2003-01-26,White Rock,BC
8478062,Dysin Mayo,1996-08-17,Victoria,BC
8475768,Jaden Schwartz,1992-06-25,Wilcox,SK
8476892,Colton Parayko,1993-05-12,St. Albert,AB
8475764,Cam Fowler,1991-12-05,Windsor,ON
8478971,Connor Ingram,1997-03-31,Saskatoon,SK
8480289,Morgan Barron,1998-12-02,Halifax,
8478469,Thomas Chabot,1997-01-30,Sainte-Marie,QC
8482673,Xavier Bourgault,2002-10-22,L'Islet,QC
8481093,Rafael Harvey-Pinard,1999-01-06,Saguenay,QC
8476462,Dougie Hamilton,1993-06-17,Toronto,ON
8482733,Logan Mailloux,2003-04-15,Belle River,ON
8484214,Luca Pinelli,2005-04-05,Stoney Creek,ON
8478178,Darren Raddysh,1996-02-28,Toronto,ON
8470642,Shea Weber,1985-08-14,Sicamous,BC
8484162,Lukas Dragicevic,2005-04-25,Richmond,BC
8482781,Carson Lambos,2003-01-14,Winnipeg,MB
8483447,Conor Geekie,2004-05-05,Strathclair,MB
8480865,Noah Dobson,2000-01-07,Summerside,PE
8480018,Nick Suzuki,1999-08-10,London,ON
8482657,Sebastian Cossa,2002-11-21,Hamilton,ON
8477335,Kyle Burroughs,1995-07-12,Vancouver,BC
8477504,Josh Morrissey,1995-03-28,Calgary,AB
8471817,Ryan Reaves,1987-01-20,Winnipeg,MB
8479398,Samuel Girard,1998-05-12,Roberval,QC
8483039,Tristen Nielsen,2000-02-23,Fort St. John,BC
8482678,Corson Ceulemans,2003-05-05,Regina,SK
8475191,Reilly Smith,1991-04-01,Mimico,ON
8476923,Damon Severson,1994-08-07,Melville,SK
8480028,Morgan Frost,1999-05-14,Aurora,ON
8478519,Anthony Cirelli,1997-07-15,Etobicoke,ON
8482740,Wyatt Johnston,2003-05-14,Toronto,ON
8478474,Lawson Crouse,1997-06-23,Mt. Brydges,ON
8477021,Alexander Kerfoot,1994-08-11,Vancouver,BC
8475176,Ryan Ellis,1991-01-03,Hamilton,ON
8477932,Aaron Ekblad,1996-02-07,Windsor,ON
8479293,Brandon Tanev,1991-12-31,Toronto,ON
8477939,William Nylander,1996-05-01,Calgary,AB
8474563,Drew Doughty,1989-12-08,London,ON
8480015,Owen Tippett,1999-02-16,Peterborough,ON
8477369,Carson Soucy,1994-07-27,Viking,AB
8476880,Tom Wilson,1994-03-29,Toronto,ON
8479987,Morgan Geekie,1998-07-20,Strathclair,MB
8478013,Jake Walman,1996-02-20,Toronto,ON
8478407,Vince Dunn,1996-10-29,Mississauga,ON
8484406,Ty Mueller,2003-02-26,Edmonton,AB
8483426,Tyler Brennan,2003-09-27,Winnipeg,MB
8483043,Tucker Robertson,2003-06-22,Toronto,ON
8477498,Darnell Nurse,1995-02-04,Hamilton,ON
8484124,Chase Wheatcroft,2002-05-28,Calgary,AB
8479400,Pierre-Luc Dubois,1998-06-24,Ste-Agathe-des-Monts,QC
8473533,Jordan Staal,1988-09-10,Thunder Bay,ON
8483442,Jagger Firkus,2004-04-29,Irma,AB
8484107,Alexandre Doucet,2002-01-12,Sherbrooke,QC
8481737,Matt Stienburg,2000-10-07,Halifax,
8477450,Jason Dickinson,1995-07-04,Georgetown,ON
8484159,Andrew Cristall,2005-02-04,Vancouver,BC
8484217,Caden Price,2005-08-24,Saskatoon,SK
8480069,Cale Makar,1998-10-30,Calgary,AB
8473419,Brad Marchand,1988-05-11,Halifax,
8476458,Ryan Strome,1993-07-11,Mississauga,ON
8474596,Jake Allen,1990-08-07,Fredericton,NB
8484403,Florian Xhekaj,2004-06-27,Hamilton,ON
8470594,Marc-Andre Fleury,1984-11-28,Sorel,QC
8476981,Josh Anderson,1994-05-07,Burlington,ON
8477952,Robby Fabbri,1996-01-22,Mississauga,ON
8474053,Logan Couture,1989-03-28,Guelph,ON
8477465,Tristan Jarry,1995-04-29,Surrey,BC
8476988,Matt Benning,1994-05-25,Edmonton,AB
8483012,Logan Morrison,2002-07-09,Guelph,ON
8483083,Connor Ungar,2002-01-12,Calgary,AB
8484185,Nick Lardis,2005-07-08,Oakville,ON
8477435,Ryan Graves,1995-05-21,Yarmouth,
8480803,Evan Bouchard,1999-10-20,Oakville,ON
8483000,Jordan Frasca,2001-07-05,Brampton,ON
8479385,Jordan Kyrou,1998-05-05,Toronto,ON
8476432,Boone Jenner,1993-06-15,Dorchester,ON
8483485,Denton Mateychuk,2004-07-12,Winnipeg,MB
8482145,Mavrik Bourque,2002-01-08,Plessisville,QC
8479353,Brett Howden,1998-03-29,Calgary,AB
8475231,Casey Cizikas,1991-02-27,Toronto,ON
8482730,Brandt Clarke,2003-02-09,Nepean,ON
