team,player_name,time_in_period,away_score,date,home_score,game_id,goal_type,player_id,away_team,home_team,period
CBJ,D. Severson,05:43,0,2024-10-30,1,2024020155,none,8476923,NYI,CBJ,3
CBJ,J. Danforth,17:57,0,2024-10-30,2,2024020155,empty-net,8479941,NYI,CBJ,3
WPG,G. Vilardi,02:48,1,2024-10-30,0,2024020156,none,8480014,WPG,DET,1
WPG,N. Pionk,04:02,2,2024-10-30,0,2024020156,none,8480145,WPG,DET,1
WPG,K. Connor,15:44,3,2024-10-30,0,2024020156,none,8478398,WPG,DET,1
DET,D. Larkin,08:13,3,2024-10-30,1,2024020156,none,8477946,WPG,DET,2
DET,A. DeBrincat,17:40,3,2024-10-30,2,2024020156,none,8479337,WPG,DET,2
WPG,N. Niederreiter,00:10,4,2024-10-30,2,2024020156,none,8475799,WPG,DET,3
WPG,N. Pionk,07:19,5,2024-10-30,2,2024020156,none,8480145,WPG,DET,3
WPG,C. Miller,10:25,6,2024-10-30,2,2024020156,none,8476525,WPG,DET,3
TBL,N. Kucherov,01:01,1,2024-10-30,0,2024020157,none,8476453,TBL,COL,1
TBL,J. Guentzel,03:36,2,2024-10-30,0,2024020157,none,8477404,TBL,COL,1
TBL,C. Geekie,05:32,3,2024-10-30,0,2024020157,none,8483447,TBL,COL,1
COL,I. Ivan,14:56,3,2024-10-30,1,2024020157,none,8483930,TBL,COL,1
TBL,J. Guentzel,06:28,4,2024-10-30,1,2024020157,none,8477404,TBL,COL,2
COL,C. Makar,10:57,4,2024-10-30,2,2024020157,none,8480069,TBL,COL,3
TBL,A. Cirelli,18:40,5,2024-10-30,2,2024020157,empty-net,8478519,TBL,COL,3
UTA,A. Kerfoot,04:41,0,2024-10-30,1,2024020158,none,8477021,CGY,UTA,1
UTA,B. Hayton,19:58,0,2024-10-30,2,2024020158,none,8480849,CGY,UTA,1
CGY,A. Mantha,03:53,1,2024-10-30,2,2024020158,none,8477511,CGY,UTA,2
UTA,M. Lamoureux,04:10,1,2024-10-30,3,2024020158,none,8483472,CGY,UTA,2
UTA,M. Sergachev,16:32,1,2024-10-30,4,2024020158,none,8479410,CGY,UTA,2
UTA,C. Keller,05:13,1,2024-10-30,5,2024020158,none,8479343,CGY,UTA,3
LAK,W. Foegele,13:58,0,2024-10-30,1,2024020160,none,8477998,VGK,LAK,1
LAK,A. Kempe,14:40,0,2024-10-30,2,2024020160,none,8477960,VGK,LAK,1
LAK,A. Laferriere,10:11,0,2024-10-30,3,2024020160,none,8482155,VGK,LAK,2
LAK,A. Kopitar,10:55,0,2024-10-30,4,2024020160,none,8471685,VGK,LAK,2
VGK,T. Pearson,14:58,1,2024-10-30,4,2024020160,none,8476871,VGK,LAK,2
LAK,K. Fiala,06:23,1,2024-10-30,5,2024020160,none,8477942,VGK,LAK,3
LAK,J. Edmundson,08:03,1,2024-10-30,6,2024020160,none,8476441,VGK,LAK,3
VGK,P. Dorofeyev,11:04,2,2024-10-30,6,2024020160,none,8481604,VGK,LAK,3
VGK,P. Dorofeyev,17:03,3,2024-10-30,6,2024020160,none,8481604,VGK,LAK,3
NJD,N. Hischier,00:53,1,2024-10-30,0,2024020159,none,8480002,NJD,VAN,1
NJD,D. Mercer,01:35,2,2024-10-30,0,2024020159,none,8482110,NJD,VAN,2
NJD,T. Meier,03:07,3,2024-10-30,0,2024020159,none,8478414,NJD,VAN,2
NJD,O. Palat,14:04,4,2024-10-30,0,2024020159,none,8476292,NJD,VAN,2
NJD,J. Hughes,09:22,5,2024-10-30,0,2024020159,none,8481559,NJD,VAN,3
NJD,T. Tatar,14:06,6,2024-10-30,0,2024020159,none,8475193,NJD,VAN,3
